id,title,genre,budget,revenue,production_companies,united_states,english,title_change,popularity,vote_average,vote_count,month,year,runtime,successful
1883,City Island,Drama,6000000,6670712,5,Yes,Yes,No,6.497285,6.9,113,3,2009,104,0
1884,The Messenger,Drama,6500000,1521261,1,Yes,Yes,No,8.432401,7.1,119,11,2009,113,0
1885,Hachi: A Dog's Tale,Drama,16000000,47801389,6,Yes,Yes,No,43.217089,7.7,1717,6,2009,93,1
1886,Chloe,Drama,15000000,8459458,3,Yes,Yes,No,26.373864,5.9,498,3,2009,96,0
1887,Case 39,Thriller,27000000,29000000,4,Yes,Yes,No,23.917982,6.1,563,8,2009,109,0
1888,Fame,Drama,0,0,3,Yes,Yes,No,7.668063,5.5,135,1,2009,107,0
1889,The Specials,Action,0,0,2,Yes,Yes,No,9.055447,5.5,11,9,2000,82,0
1890,Gun Shy,Action,10000000,1631839,2,Yes,Yes,No,3.988432,5.4,24,2,2000,101,0
1891,The Game of Their Lives,Drama,0,0,5,Yes,Yes,No,2.013405,5.8,14,1,2005,101,0
1892,An Everlasting Piece,Comedy,0,0,4,Yes,Yes,No,0.068246,6,1,12,2000,103,0
1893,The House of Sand,Drama,0,0,0,No,No,Yes,0.389471,6.7,9,5,2005,115,0
1894,Nicholas Nickleby,Action,0,0,3,Yes,Yes,No,5.099923,6.8,49,12,2002,132,0
1895,Trucker,Drama,2000000,0,3,Yes,Yes,No,1.20173,6.8,16,4,2008,90,0
1896,Survival of the Dead,Horror,4000000,0,5,Yes,Yes,No,10.789912,4.6,116,5,2010,90,0
1897,The Crazies,Action,20000000,54956140,4,Yes,Yes,No,28.867568,6.2,633,2,2010,101,1
1898,Wal-Mart: The High Cost of Low Price,Documentary,0,0,1,Yes,Yes,No,1.404175,6.9,24,11,2005,98,0
1899,Faith Like Potatoes,Drama,0,0,1,No,Yes,No,0.147886,6,9,10,2006,97,0
1900,And Then Came Love,Comedy,0,0,0,No,Yes,No,0.280829,5,1,1,2007,90,0
1901,Exam,Thriller,0,0,2,No,Yes,No,20.265518,6.6,523,6,2009,101,0
1902,Easy Money,Drama,0,0,3,No,Yes,Yes,7.217328,6.5,63,1,2010,124,0
1903,Bright Star,Drama,8500000,4440055,7,No,Yes,No,9.230073,6.8,107,11,2009,119,0
1904,Forty Shades of Blue,Drama,1500000,0,4,Yes,Yes,No,0.071377,6,2,12,2005,108,0
1905,I Hope They Serve Beer in Hell,Drama,7000000,1429299,0,No,Yes,No,7.155519,5.7,20,9,2009,106,0
1906,Phat Girlz,Comedy,0,0,0,Yes,Yes,No,0.982624,3.7,10,1,2006,99,0
1907,The Singing Detective,Comedy,0,0,4,Yes,Yes,No,6.335881,5.9,41,10,2003,109,0
1908,Civil Brand,Drama,0,0,0,Yes,Yes,No,0.665512,5.3,4,8,2003,95,0
1909,Real Women Have Curves,Drama,0,0,0,No,Yes,No,1.026243,5.8,19,1,2002,86,0
1910,Megiddo: The Omega Code 2,Action,0,0,2,Yes,Yes,No,0.809588,3.6,8,9,2001,104,0
1911,Bodyguards and Assassins,Action,23000000,5837674,1,No,Yes,Yes,7.876883,6.5,57,12,2009,139,0
1912,Scott Walker: 30 Century Man,Documentary,0,0,0,Yes,Yes,No,0.607782,7,8,10,2006,95,0
1913,The Visual Bible: The Gospel of John,Drama,10000000,4069090,3,No,Yes,No,3.208172,8.2,12,9,2003,125,0
1914,The Horse Boy,Documentary,0,0,0,No,Yes,No,0.465404,5.5,2,11,2009,93,0
1915,Moonlight Mile,Drama,21000000,10011050,5,Yes,Yes,No,8.982335,6.5,52,9,2002,117,0
1916,Welcome to the Rileys,Drama,0,42145,5,Yes,Yes,No,6.085879,6.4,139,10,2010,110,1
1917,The Business of Strangers,Drama,0,0,2,Yes,Yes,No,1.369649,5.7,19,1,2001,84,0
1918,Superbabies: Baby Geniuses 2,Comedy,0,9109322,2,Yes,Yes,No,5.886228,1.9,35,8,2004,88,1
1919,Chicken Tikka Masala,Comedy,0,0,0,No,Yes,No,0.258413,3.5,5,4,2005,90,0
1920,I Come with the Rain,Drama,18000000,0,7,No,Yes,No,8.266124,5.6,20,5,2009,114,0
1921,Soul Kitchen,Drama,5000000,17872796,2,No,No,No,5.461487,7.1,116,9,2009,99,1
1922,Little Nicholas,Comedy,0,0,10,No,No,Yes,20.362025,5.9,306,9,2009,91,0
1923,From Justin to Kelly,Comedy,12000000,4922166,1,Yes,Yes,No,1.623338,3,23,6,2003,90,0
1924,All The Queen's Men,Action,15000000,23000,0,No,Yes,No,1.833058,6.1,7,10,2001,99,0
1925,Repo Men,Action,32000000,18409891,4,Yes,Yes,No,25.799697,6.2,620,3,2010,111,0
1926,City of Ghosts,Thriller,0,0,0,Yes,Yes,No,2.64486,5.4,18,1,2002,116,0
1927,American Desi,Drama,250000,0,0,Yes,Yes,No,0.126304,5,4,1,2001,100,0
1928,Northfork,Drama,0,0,0,Yes,Yes,No,1.980265,6.7,24,1,2003,103,0
1929,Marci X,Comedy,20000000,1675706,1,Yes,Yes,No,5.65327,3.3,12,8,2003,84,0
1930,The Greatest,Drama,6000000,0,5,Yes,Yes,No,6.903186,6.2,34,1,2009,99,0
1931,Under the Same Moon,Drama,0,23311391,4,Yes,Yes,Yes,2.756435,7,28,3,2008,106,1
1932,Percy Jackson & the Olympians: The Lightning Thief,Fantasy,95000000,226497209,8,Yes,Yes,No,61.121717,6,2010,2,2010,118,1
1933,Krrish,Action,0,0,0,No,No,Yes,3.759988,5.5,46,6,2006,154,0
1934,Get Him to the Greek,Comedy,40000000,90029656,4,Yes,Yes,No,17.869443,5.9,612,6,2010,109,1
1935,Valentine's Day,Comedy,52000000,216485654,3,Yes,Yes,No,25.41929,5.7,1013,2,2010,125,1
1936,Silver Medalist,Action,0,0,0,No,No,Yes,0.406645,7.4,13,1,2009,99,0
1937,Tidal Wave,Action,16000000,11301649,3,No,Yes,Yes,4.628525,6.5,48,6,2009,120,0
1938,Diary of a Wimpy Kid,Comedy,15000000,75700498,3,Yes,Yes,No,21.095489,5.9,355,3,2010,92,1
1939,Nowhere Boy,Drama,0,0,6,No,Yes,No,1.950959,7.2,244,12,2009,98,0
1940,Funny Ha Ha,Drama,0,76901,0,Yes,Yes,No,0.362633,6.3,8,9,2002,85,1
1941,Mao's Last Dancer,Drama,25000000,20719451,1,No,Yes,No,1.876811,6.8,28,10,2009,117,0
1942,Wall Street: Money Never Sleeps,Drama,70000000,134748021,4,Yes,Yes,No,23.25645,5.8,493,9,2010,133,0
1943,She's Out of My League,Comedy,20000000,49779728,2,Yes,Yes,No,16.176976,5.9,525,3,2010,104,1
1944,On the Line,Comedy,0,0,3,Yes,Yes,No,3.084874,4.1,10,10,2001,85,0
1945,Cargo,Thriller,0,0,7,No,No,No,10.142218,5.9,140,9,2009,120,0
1946,Brave New Girl,Drama,0,0,2,Yes,Yes,No,0.18094,3.7,3,4,2004,120,0
1947,Nine Dead,Drama,2000000,0,1,Yes,Yes,No,9.68793,5.2,84,1,2010,98,0
1948,Men with Brooms,Comedy,7500000,4245870,0,No,Yes,No,1.369528,4.5,7,9,2002,102,0
1949,Good Intentions,Comedy,0,0,1,Yes,Yes,No,0.304566,5,6,3,2010,85,0
1950,Max Keeble's Big Move,Comedy,12000000,17292381,2,Yes,Yes,No,1.081822,5.4,33,10,2001,86,0
1951,Our Family Wedding,Comedy,14000000,21409028,4,Yes,Yes,No,6.733485,5.7,39,3,2010,103,0
1952,ZMD: Zombies of Mass Destruction,Horror,0,0,1,Yes,Yes,No,1.563711,4.7,31,1,2009,92,0
1953,Enter the Void,Drama,13000000,754249,2,No,Yes,No,20.39955,7.2,387,5,2009,161,0
1954,A Single Man,Drama,7000000,0,3,Yes,Yes,No,21.626288,7.3,463,10,2009,101,0
1955,Defendor,Action,3500000,44462,3,Yes,Yes,No,8.45342,6.5,195,9,2009,101,0
1956,The Back-Up Plan,Comedy,35000000,77477008,2,Yes,Yes,No,18.38292,5.7,458,4,2010,106,1
1957,The Losers,Action,25000000,23580000,5,Yes,Yes,No,24.903418,6.2,515,4,2010,97,0
1958,Predators,Action,40000000,126248813,4,Yes,Yes,No,47.649554,6,1206,7,2010,107,1
1959,Nanny McPhee and the Big Bang,Comedy,35000000,93246388,5,Yes,Yes,No,23.835055,6,436,3,2010,109,1
1960,Date Night,Comedy,55000000,152263880,3,Yes,Yes,No,38.06168,5.9,1122,4,2010,97,1
1961,Furry Vengeance,Comedy,35000000,39340177,5,Yes,Yes,No,13.668633,4.6,149,4,2010,92,0
1962,Wordplay,Documentary,0,0,0,No,Yes,No,0.906096,7.3,10,6,2006,94,0
1963,The Missing Person,Drama,0,0,3,Yes,Yes,No,1.161034,6.4,9,1,2009,95,0
1964,Why Did I Get Married Too?,Comedy,20000000,60072596,2,Yes,Yes,No,2.986286,6.1,29,4,2010,121,1
1965,Don McKay,Thriller,0,0,1,Yes,Yes,No,1.496454,5.4,21,4,2009,87,0
1966,The Last Song,Drama,0,0,1,Yes,Yes,No,23.139971,6.9,923,3,2010,107,0
1967,Letters to God,Action,0,0,1,Yes,Yes,No,3.644872,6.5,37,4,2010,110,0
1968,Juwanna Mann,Drama,15600000,0,2,Yes,Yes,No,2.244947,4.2,20,6,2002,91,0
1969,Resident Evil: Afterlife,Action,60000000,300228084,3,Yes,Yes,No,2.143764,5.8,1363,9,2010,97,1
1970,Lucky Break,Action,0,0,0,No,Yes,No,0.669169,6.5,11,8,2001,107,0
1971,The Work and the Glory,Drama,7500000,3347647,0,No,Yes,No,0.571663,6.1,7,11,2004,110,0
1972,The In Crowd,Thriller,15000000,5217498,1,Yes,Yes,No,0.249245,4.7,15,7,2000,105,0
1973,After.Life,Drama,4500000,3606395,3,Yes,Yes,No,14.570359,5.4,251,4,2010,104,0
1974,Yesterday Was a Lie,Drama,0,0,0,Yes,Yes,No,0.145014,6,4,1,2008,89,0
1975,Casino Royale,Action,150000000,599045960,3,Yes,Yes,No,88.935165,7.3,3855,11,2006,144,1
1976,Interview with the Assassin,Drama,500000,0,1,No,No,No,0.471264,5.6,5,5,2002,88,0
1977,Blade II,Action,54000000,155010032,8,Yes,Yes,No,67.169587,6.2,1528,3,2002,117,1
1978,Wuthering Heights,Drama,0,0,0,No,Yes,No,4.409263,6.9,37,1,2009,142,0
1979,Blade: Trinity,Action,65000000,128905366,6,Yes,Yes,No,49.660055,5.7,1252,12,2004,123,0
1980,X-Men,Action,75000000,296339527,6,Yes,Yes,No,4.66891,6.8,4097,7,2000,104,1
1981,X2,Action,110000000,407711549,6,Yes,Yes,No,2.871739,6.8,3506,4,2003,133,1
1982,X-Men: The Last Stand,Action,210000000,459359555,11,Yes,Yes,No,3.857526,6.3,3525,5,2006,104,1
1983,Die Another Day,Action,140000000,431971116,1,Yes,Yes,No,54.159392,5.8,1092,11,2002,133,1
1984,Solitary Man,Drama,15000000,5024782,3,Yes,Yes,No,7.497306,5.8,84,9,2009,90,0
1985,Space Dogs,Animation,25000000,6500000,1,Yes,No,Yes,5.753564,6.3,10,3,2010,85,0
1986,The Last Station,Drama,0,0,2,No,Yes,No,3.659292,6.7,55,9,2009,112,0
1987,The R.M.,Comedy,0,0,1,Yes,Yes,No,0.082978,4.8,4,1,2003,101,0
1988,Oceans,Documentary,0,19406406,16,No,No,No,10.706613,7.3,111,10,2009,84,1
1989,U2 3D,Documentary,15000000,22730842,2,Yes,Yes,No,0.335195,6.7,10,5,2007,85,0
1990,The Magic Flute,Drama,0,0,1,No,Yes,No,0.548435,6.9,6,9,2006,133,0
1991,Letters to Juliet,Drama,30000000,0,2,Yes,Yes,No,16.52083,6.6,796,5,2010,105,0
1992,Mother and Child,Drama,7000000,0,2,Yes,Yes,No,5.517597,6.7,46,11,2009,125,0
1993,A Shine of Rainbows,Drama,6000000,0,2,No,Yes,No,12.099486,6.3,14,10,2009,101,0
1994,Travellers and Magicians,Drama,0,0,1,No,No,No,0.749699,6.8,9,9,2003,108,0
1995,The Killer Inside Me,Drama,13000000,0,2,Yes,Yes,No,11.892615,6,173,2,2010,109,0
1996,Four Lions,Drama,967686,4270000,4,No,Yes,No,20.544999,7,423,5,2010,101,1
1997,Super 8,Thriller,50000000,260095987,4,Yes,Yes,No,37.069253,6.6,2435,6,2011,112,1
1998,Proud,Drama,0,0,0,No,No,No,0.023681,5.5,3,7,2004,87,0
1999,Splice,Thriller,26000000,0,4,Yes,Yes,No,23.227877,5.5,671,10,2009,104,0
2000,The Tourist,Action,100000000,278731369,11,Yes,Yes,No,41.426678,6,1699,12,2010,103,1
2001,Skyfall,Action,200000000,1108561013,1,Yes,Yes,No,93.004993,6.9,7604,10,2012,143,1
2002,Easy A,Comedy,8000000,74952305,2,Yes,Yes,No,45.395839,6.7,2210,9,2010,92,1
